ID|SEX|SUBSET|MINUTES|NAME
85|M|train-other-500|30.02|DavidLeaman
87|F|train-clean-100|25.10|RosalindWills
89|F|train-clean-100|25.08|KristenMcQuillin
90|M|train-clean-360|25.17|DanThreetrees
91|M|train-other-500|30.05|StephanMobius
92|F|train-other-500|26.78|CoriSamuel
93|F|train-clean-360|25.02|Kathy
94|M|train-other-500|30.11|DavidBarnes
98|F|train-clean-360|25.03|PatriciaOakley
100|F|train-clean-360|25.06|JudyBieber
101|M|train-clean-360|25.04|paulino
102|F|train-other-500|30.18|LindaLeu
103|F|train-clean-100|23.72|KarenSavage
104|F|train-other-500|30.21|LauraM.D.
107|M|train-other-500|18.64|JohnGreenman
110|F|train-other-500|30.07|CynthiaLyons(1946-2011)
111|F|train-other-500|22.36|LindaWilcox
112|F|train-clean-360|25.23|ChristianeLevesque
114|F|train-clean-360|25.03|JenKidd
115|F|train-clean-360|25.02|Maddie
116|M|dev-other|10.02|StevenCollins
118|M|train-clean-100|25.05|AlexBuie
119|M|train-clean-360|25.11|AlexPatterson
121|F|test-clean|8.01|NikolleDoolin
122|M|train-clean-360|25.15|J.C.
123|F|train-other-500|30.01|Ezwa
125|F|train-clean-100|25.18|ClaireGoget
126|F|train-clean-360|25.15|SusanDenney
127|M|train-other-500|29.49|JohnHicken
128|M|train-other-500|25.63|MLCohen
133|M|train-other-500|13.89|Mick
147|M|train-other-500|10.79|ThomasHoover
149|M|train-other-500|17.69|JoshuaYoung
150|F|train-clean-100|25.13|FoxintheStars
151|F|train-other-500|10.54|Gwen
152|M|train-other-500|28.67|AndyMinter
153|M|train-other-500|30.16|GrahamWilliams
154|M|train-clean-360|25.13|RobertFoster
157|M|train-clean-360|22.96|BenDouglas
159|M|train-clean-360|25.03|hughmac
161|M|train-other-500|30.09|CyrilLaw,Jr.
163|M|train-clean-100|25.06|AndrewMiller
166|F|train-clean-360|25.16|PaulaBerinstein
167|M|train-other-500|21.75|PeterYearsley
168|M|train-other-500|28.32|ChrisGoringe
173|F|train-other-500|11.25|vlooi
174|M|dev-clean|8.04|PeterEastman
175|F|train-clean-360|25.03|MeredithHughes
176|M|train-clean-360|25.20|VinnyBove
177|F|train-other-500|26.69|KymmZuckert
188|F|train-clean-360|25.26|MaryAnderson
192|F|train-clean-360|25.19|DeborahClark
196|M|train-clean-100|25.24|StewartWills
198|F|train-clean-100|25.02|HeatherBarnett
199|F|train-other-500|7.08|MariaMorabe
200|F|train-clean-100|25.14|MaureenS.O'Brien
201|M|train-clean-100|25.19|JoplinJames
202|F|train-other-500|30.04|GeetuMelwani
203|F|train-clean-360|25.01|MarianBrown
204|M|train-clean-360|25.18|MarkF.Smith
205|F|train-clean-360|25.07|Esther
207|M|train-clean-360|25.00|KevinMcAsh
208|F|train-clean-360|13.28|AndreaL
209|F|train-clean-360|25.08|MoiraFogarty
210|M|train-clean-360|25.12|Aldark
211|F|train-clean-100|25.22|shanda_w
215|F|train-other-500|29.09|AliceElizabethStill
216|M|train-clean-360|25.08|ThomasDavoren
217|F|train-clean-360|17.71|firefly
218|M|train-other-500|14.46|KellyClear
224|F|train-clean-360|25.20|CaitlinKelly
225|F|train-clean-360|25.17|BrendaDayne
226|F|train-clean-100|25.21|DebBacon-Ziegler
227|F|train-clean-360|25.16|SarahKey-DeLyria
228|F|train-other-500|28.84|Arctura
229|M|train-clean-100|19.56|carnright
231|M|train-clean-360|22.19|SeanMcGaughey
233|M|train-clean-100|24.72|SteveKarafit
237|F|test-clean|8.02|rachelellen
238|F|train-other-500|10.11|MariaElmvang
240|M|train-clean-360|25.06|Shurtagal
242|F|train-clean-360|25.12|Cagirlwithasoutherndrawl
243|F|train-other-500|30.04|JenniferStearns
245|M|train-other-500|30.25|PeterofBuckinghamshireEngland
246|F|train-clean-360|22.43|BethDudek
248|F|train-clean-100|25.13|BeckyMiller
249|M|train-clean-360|18.69|pww214
250|F|train-clean-100|25.16|MaryReagan
251|M|dev-clean|8.04|MarkNelson
252|M|train-other-500|30.26|Rainer
253|M|train-other-500|27.43|StefanSchmelz
254|M|train-clean-100|25.06|AlanDavisDrake(1945-2010)
255|M|train-other-500|30.10|ChrisHawk
258|M|train-clean-360|24.53|KurtWong
260|M|test-clean|8.05|BradBush
263|M|train-other-500|16.03|MichaelSirois
264|M|train-other-500|22.55|ChrisHughes
265|M|train-other-500|10.38|Janice
272|M|train-clean-360|16.45|Mr.BabyMan
273|M|train-other-500|30.02|JimCadwell
274|F|train-clean-360|25.18|EileenGeorge
277|F|train-other-500|25.72|Alessia
278|F|train-clean-360|22.05|AliceG
283|M|train-other-500|15.42|AsafBartov
288|F|train-clean-360|25.13|Bookworm
289|F|train-clean-100|19.64|BarbaraWedge
294|F|train-other-500|20.51|Calliope
296|M|train-clean-360|25.16|CarlManchester
298|F|train-clean-100|25.00|CarolineMorse
302|F|train-clean-100|25.04|ChrisPeterson
303|M|train-clean-360|25.03|TonyHightower
307|M|train-clean-100|25.11|RandyPhillips
310|F|train-other-500|25.15|DexnellPeters
311|M|train-clean-100|25.17|deadwhitemales
313|F|train-other-500|30.03|DiliniJayasinghe
317|M|train-other-500|28.14|MikeGardom
318|F|train-clean-360|25.17|Eileenakae
319|M|train-other-500|30.07|EdGood
322|F|train-clean-100|25.20|ElisabethShields
323|F|train-clean-360|14.36|EricaKuntz
328|F|train-clean-100|19.35|ElizabethPalmer
329|M|train-clean-360|25.09|ToddCranston-Cuebas
331|M|train-other-500|30.12|RichardGrove
332|M|train-clean-100|19.00|AaronTeiser
335|M|train-clean-360|25.08|PaulHarvey
336|M|train-other-500|21.97|HarveyChinn
337|F|train-clean-360|25.15|BarbaraHarvey
339|F|train-clean-360|25.07|HeatherOrdover
340|M|train-clean-360|25.17|ScottHenkel
345|M|train-clean-360|25.19|MicahSheppard
348|M|train-other-500|30.02|ianish
353|M|train-clean-360|20.10|JameyOsborne
359|M|train-clean-360|25.08|JohnNicholson
362|F|train-clean-360|25.07|JudithBrown
365|M|train-other-500|30.01|JonIngram
366|F|train-other-500|30.12|KatyPreston
367|F|test-other|6.74|KathleenDang
369|M|train-clean-360|19.56|KevinReaddean
373|F|train-clean-360|25.18|KimBraun
374|M|train-clean-100|25.16|kumarei
377|M|train-other-500|21.39|LennyGlionnaJr.
380|F|train-clean-360|25.15|LaurieCampbell
392|F|train-other-500|23.64|MariaCelano
398|M|train-clean-360|23.56|JamesSmith
402|F|train-other-500|30.19|SharminiKumar
403|F|train-clean-100|25.14|Nocturna
404|F|train-other-500|24.68|Nomenphile
405|M|train-clean-100|25.04|EricDennison
408|F|train-clean-360|25.17|ClaudineChen
409|M|train-clean-360|25.13|MikeKauffmann
412|M|train-clean-100|22.38|BrianRoberg
413|M|train-other-500|19.72|DanielWatkins
421|M|train-other-500|29.09|Patrick
422|M|dev-clean|8.38|PresidentLethe
426|F|train-clean-100|25.21|NorahPiehl
428|M|train-other-500|27.22|RayburnBeale
432|M|train-other-500|30.10|SteveAndersen
434|F|train-clean-360|25.09|JoyceNussbaum
439|M|train-clean-360|25.16|RobertGarrison
441|F|train-clean-100|25.19|SandrainWales,UnitedKingdom
444|F|train-other-500|28.32|SageTyrtle
445|M|train-clean-100|11.08|DaveFoss
446|M|train-clean-100|25.00|SteveHartzog
448|F|train-other-500|23.84|scrappylibrarian
451|F|train-clean-360|22.93|SonseraeLeese-Calver
453|M|train-other-500|22.78|GlenHallstrom
454|M|train-clean-360|25.20|TomYates
458|M|train-clean-100|17.30|ScottSplavec
459|M|train-clean-360|25.05|MarkBradford
460|M|train-clean-100|25.23|DaveRanson
464|M|train-clean-360|18.24|MikeWilson
466|F|train-other-500|30.21|JoyChan
470|M|train-other-500|30.06|ChrisChapman
472|F|train-clean-360|25.02|TinaTilney
474|M|train-other-500|29.00|ZacharyBrewster-Geisz
475|M|train-clean-360|23.95|JasonX.
476|M|train-clean-360|25.08|ChuckSpann
479|F|train-clean-360|25.00|wedschild
480|M|train-clean-360|25.13|ChrisVee
481|M|train-clean-100|25.08|NealFoley
483|F|train-other-500|26.75|junkscience
487|M|train-clean-360|17.12|ClaytonJ.Smith
489|F|train-other-500|26.53|Tora
492|M|train-clean-360|25.19|TBOL3
497|M|train-clean-360|25.00|audiotoshokan
500|M|train-clean-360|25.04|galaxiant
501|M|train-clean-360|25.06|mikenkat
505|M|train-other-500|29.49|Menno
510|M|train-clean-360|25.07|KirkThomas
511|M|train-clean-360|25.23|MatthewShepherd
512|M|train-clean-360|25.12|AnthonyCraine
517|M|train-other-500|23.59|MatthewWalton
525|F|train-clean-360|25.03|VictoriaLong
533|F|test-other|10.05|AnaSimao
534|F|train-clean-360|25.01|JeanO'Sullivan
542|M|train-other-500|29.87|J.Hall
543|M|train-clean-360|25.10|TedDelorme
544|M|train-other-500|25.89|bozgeez
548|M|train-clean-360|25.14|ChrisMitchell
549|F|train-clean-360|18.99|SarahHadley
551|M|train-other-500|30.20|Guntar
557|M|train-other-500|30.07|fieldsofgold
559|M|train-clean-360|25.16|BillStackpole
561|M|train-clean-360|24.78|Quentin
567|M|train-other-500|6.49|AaronBenedict
568|M|train-other-500|30.21|JDWeber
569|M|train-other-500|8.36|Frank
572|M|train-other-500|29.18|RebeccaDittman
576|F|train-clean-360|20.69|CarolineMercier
580|M|train-clean-360|25.22|Ryan
581|M|train-clean-360|25.20|C.Berrius
583|M|train-clean-360|24.67|RussMaxwell
584|F|train-other-500|30.10|miette
585|F|train-other-500|30.05|pheo
587|F|train-clean-100|25.20|JoyScaglione
589|F|train-clean-360|25.01|StephanieKonig
593|M|train-clean-360|24.55|EricS.Piotrowski
594|M|train-clean-360|25.12|KentF
596|F|train-clean-360|25.00|CarolGoode
597|F|train-clean-360|25.25|LisaChau
598|F|train-clean-360|25.02|Kim
606|M|train-clean-360|25.02|JulianJamison
608|F|train-other-500|30.09|Baranduin
612|F|train-clean-360|21.70|CindySteib
613|M|train-other-500|29.85|D.E.Wittkower
614|F|train-other-500|27.57|ChristineBlachford
622|M|train-other-500|23.15|AndrewLebrun
625|M|train-clean-100|25.01|toriasuncle
636|F|train-clean-360|25.03|ZaleSchafer(RoseMayChamberlinMemorialFoundat
637|M|train-clean-360|25.11|MichaelScherer
639|M|train-clean-360|25.10|RobertBeach
644|M|train-other-500|30.17|Daniele
652|M|dev-clean|8.31|ScottWalter
663|M|train-clean-360|25.10|BruceStafford
664|F|train-clean-360|25.20|WendyG.
666|F|train-clean-360|24.58|Monique
667|F|train-clean-360|25.04|BethanySimpson
669|F|train-clean-100|25.17|Anne
671|M|train-clean-360|24.11|koijmonop
672|M|test-clean|8.27|TaylorBurton-Edward
679|M|train-other-500|13.04|rhodian
681|F|train-other-500|30.01|LucyBurgoyne
684|F|train-other-500|30.04|LizzieDriver
688|F|train-clean-360|25.19|J.M.Smallheer
690|F|train-other-500|22.10|Silver
696|F|train-clean-100|25.11|TamaraR.Schwartz
698|F|train-clean-360|25.03|RandiWarwick
699|F|train-clean-360|25.06|DianaKiesners
700|F|dev-other|10.01|SusanHooks
705|F|train-other-500|30.09|eva
707|M|train-clean-360|24.76|JasonMayoff
708|M|train-clean-360|21.01|KevinDevine
711|M|train-clean-360|25.13|RoySchreiber
712|M|train-other-500|28.91|MichaelShook
713|F|train-other-500|25.71|OnjanaYawnghwe
716|M|train-clean-360|22.52|martyd
718|M|train-clean-360|25.08|clarknova
720|M|train-other-500|30.09|PeterGallagher
724|M|train-clean-360|25.08|MichaelCrowl
726|M|train-other-500|30.19|Paul
727|M|train-other-500|27.18|AndrewRichards
728|M|train-other-500|30.21|EricConnover
730|F|train-clean-100|25.19|KarenLabenz
731|F|train-clean-360|25.14|Megan-JaneDanielsSuyasu
737|M|train-other-500|24.83|RogerW.Barnett
742|M|train-other-500|18.38|PeterGroom
753|M|train-other-500|26.92|TimBulkeley
764|M|train-clean-360|25.08|CarlVonnoh,III
766|M|train-other-500|24.41|JeanCrevier
770|M|train-clean-360|25.00|JustinSBarrett
774|F|train-other-500|8.75|SaraWalsh
777|M|dev-clean|8.06|fling93
778|M|train-other-500|30.17|BrankoCollin
779|M|train-other-500|30.09|Greg
780|M|train-other-500|24.65|LloydDavis
781|M|train-clean-360|25.12|MitchellDwyer
782|F|train-other-500|30.18|MichelePacey
783|F|train-clean-360|23.98|Gina
789|F|train-other-500|17.71|Eva
791|M|train-other-500|27.56|Ivan
792|F|train-other-500|19.73|mjd-s
797|M|train-other-500|13.94|MikeShapiro
803|M|train-clean-360|25.02|GregElmensdorp
806|M|train-clean-360|22.41|AaronAndradne
807|M|train-other-500|25.31|LukeVenediger
810|M|train-other-500|21.54|JosephLoverti
811|F|train-other-500|25.09|Elizabeth
815|M|train-clean-360|16.20|mawrtea
816|M|train-clean-360|23.23|JeffRobinson
820|M|train-clean-360|24.64|Scoot
826|M|train-other-500|18.49|ThomasWells
829|F|train-clean-360|25.14|frenchfry
830|F|train-clean-360|22.26|sebrazer
831|M|train-clean-100|25.22|NickGallant
834|F|train-clean-360|25.14|nausicaa
835|M|train-clean-360|18.61|echo
836|M|train-clean-360|25.01|KevinLaVergne
839|M|train-clean-100|19.95|rovert405
844|F|train-other-500|27.30|Martina
845|M|train-other-500|11.71|DaveF
846|M|train-other-500|30.12|Anadaxis_Canejia
850|M|train-clean-360|22.03|tonypettit
851|M|train-other-500|9.02|brenthumphries
868|M|train-clean-360|25.07|MikeRosenlof
876|F|train-other-500|22.85|Alisha
882|F|train-clean-360|24.14|MurLafferty
884|M|train-other-500|17.23|sayeth
886|M|train-other-500|24.31|PaulS.Jenkins
887|F|train-clean-100|25.11|LanaTaylor
895|M|train-other-500|15.01|MaxPorterZasada
899|M|train-clean-360|25.09|thomahal
908|M|test-clean|8.05|SamStinson
909|M|train-clean-100|25.00|GregBryant
911|M|train-clean-100|23.83|frankjf
915|M|train-other-500|21.21|TedKaouk
920|F|train-clean-360|21.36|SarahBean
921|M|train-other-500|29.10|BrianJ.Callaghan
922|M|train-clean-360|25.07|StevenH.Wilson
923|F|train-other-500|21.33|Layna
925|F|train-clean-360|25.22|pattymarie
927|M|train-other-500|26.13|Nerijus
937|F|train-other-500|30.14|SusieG.
948|F|train-clean-360|25.13|ChereTheriot
949|M|train-clean-360|25.08|ontheroad
951|F|train-other-500|30.04|thomasina
953|M|train-clean-360|20.76|JimMullins
954|M|train-clean-360|14.44|BrooksSeveer
956|F|train-other-500|23.96|krithiga
957|M|train-clean-360|25.06|iscatel
960|F|train-other-500|27.55|MarloesSchoonheim
964|M|train-other-500|17.09|PaulSze
968|F|train-clean-360|24.49|PatElder
969|M|train-other-500|30.10|Czechchris
976|F|train-other-500|30.11|AlisonRaouf
978|M|train-other-500|27.56|RickBox
979|F|train-clean-360|5.59|KelliRobinson
982|M|train-other-500|22.28|MikeRoop
984|M|train-clean-360|23.39|JACarter
985|M|train-other-500|30.05|GeorgePilling
986|M|train-clean-360|15.96|MichaelKirkpatrick
1001|M|train-clean-360|25.25|Eric
1006|F|train-other-500|30.00|MartaKornowska
1012|F|train-clean-360|21.38|LizzieOldfather
1018|M|train-clean-360|25.07|JimmyLogan
1025|M|train-clean-360|22.99|rdmagpie
1027|M|train-clean-360|25.09|BrooksJensen
1028|M|train-clean-360|25.03|TimLundeen
1031|F|train-clean-360|23.73|swroot
1034|M|train-clean-100|16.71|KevinO'Coin
1040|M|train-clean-100|15.70|JohnGarvin
1046|M|train-clean-360|24.65|durnburr
1049|M|train-other-500|14.93|SamFold
1050|F|train-clean-360|25.04|entada
1051|F|train-other-500|28.33|E.Moulton
1052|F|train-clean-360|25.13|KathyJacobs
1053|F|train-clean-360|25.04|katyleah
1054|F|train-clean-360|24.80|IgorTeaforay
1058|M|train-clean-360|25.10|JamesTiley
1060|F|train-clean-360|20.07|ValGrimm
1061|F|train-clean-360|25.14|Missie
1065|M|train-other-500|30.18|JustinBrett
1066|F|train-clean-360|25.20|LaurieAnneWalden
1069|F|train-clean-100|25.15|Dawn
1079|F|train-clean-360|21.26|MaryakaBreadchick
1081|M|train-clean-100|25.18|Fracture
1084|F|train-other-500|29.12|NicholeKarl
1085|M|train-other-500|30.24|hefyd
1088|F|train-clean-100|25.18|Christabel
1089|M|test-clean|8.05|PeterBobbe
1092|F|train-other-500|30.17|Maria
1093|F|train-clean-360|25.11|KikiBaessell
1094|M|train-other-500|30.03|tubeyes
1096|M|train-other-500|26.95|GeoffDugwyler
1097|M|train-other-500|30.18|Euthymius
1098|F|train-clean-100|18.31|Merryb
1100|F|train-clean-360|23.87|DanielleFlores
1107|M|train-other-500|30.10|JasonOakley
1110|M|train-other-500|24.85|GraemeJolliffe
1112|M|train-clean-360|25.15|RedToby
1116|F|train-clean-100|25.12|MeganStemm-Wade
1121|M|train-clean-360|25.12|JohnLieder
1124|F|train-other-500|30.03|Ancilla
1132|M|train-other-500|30.04|GilesBaker
1152|F|train-other-500|28.04|Millbeach
1154|F|train-other-500|30.12|LarysaJaworski
1160|M|train-clean-360|25.20|GaryGilberd
1161|M|train-other-500|21.87|DominicMoore
1165|M|train-clean-360|25.13|BobGraff
1166|F|train-other-500|21.27|DebraLynn
1168|F|train-other-500|21.61|Ree
1171|F|train-other-500|30.01|JuliaClaussen
1175|M|train-clean-360|25.02|BrotherPatrick
1179|M|train-other-500|28.84|AlanChant
1182|M|train-clean-360|25.06|BrettCondron
1183|F|train-clean-100|9.72|roolynninms
1184|M|train-other-500|28.84|JeremyPavier
1187|M|train-other-500|30.02|PaulHansen
1188|M|test-clean|8.20|DuncanMurrell
1195|F|train-clean-360|25.03|JennetteSelig
1200|M|train-other-500|30.04|hosmer_angel
1212|F|train-clean-360|25.07|LeeAnnHowlett
1221|F|test-clean|8.07|Dianne
1222|M|train-clean-360|25.12|JosephUgoretz
1224|F|train-clean-360|22.11|HeatherDuncan
1225|M|train-other-500|30.08|ChrisLangston
1226|M|train-clean-360|25.11|RussLemker
1230|M|train-other-500|30.03|IanSkillen
1235|M|train-clean-100|25.09|TimGregory
1239|M|train-other-500|20.69|ScottRobbins
1241|F|train-clean-360|25.12|CatherineFitz
1246|F|train-clean-100|25.09|Sandra
1250|F|train-other-500|30.23|ChristinaBoyles
1252|F|train-other-500|15.47|Avery
1255|M|dev-other|10.03|SimonEvers
1258|M|train-other-500|18.03|Mellors
1259|F|train-clean-360|25.12|ElizabethKlett
1260|M|train-other-500|24.01|ChrisHughes
1261|M|train-other-500|21.04|MansBroo
1263|F|train-clean-100|25.16|LeonieRose
1264|M|train-clean-360|25.01|MatthewHinman
1265|M|train-clean-360|25.18|EdwardElmer
1266|F|train-other-500|27.94|Jenilee
1271|M|train-clean-360|25.18|ChristianPecaut
1272|M|dev-clean|8.02|JohnRose
1274|M|train-other-500|15.99|LarryGilman
1280|M|train-other-500|23.94|TimMakarios
1283|M|train-clean-360|24.22|PaulSiegel
1284|F|test-clean|8.16|DanielAnaya
1289|F|train-clean-360|25.00|JoannePauwels
1290|F|train-clean-360|15.49|librarianite
1291|F|train-other-500|28.53|PattiBrugman
1296|F|train-clean-360|25.09|GigiMinden
1298|F|train-other-500|30.03|WinaHathaway
1311|M|train-clean-360|25.04|ScottD.Farquhar
1313|M|train-clean-360|25.18|ScottSherris
1316|M|train-clean-360|25.04|Estragon
1320|M|test-clean|8.02|number6
1322|M|train-clean-360|25.17|christierney
1323|M|train-clean-360|25.08|LeonMire
1331|M|train-other-500|28.73|AdrianPraetzellis
1334|M|train-clean-100|23.89|JohnSchell
1335|F|train-clean-360|25.08|Clarica
1336|M|train-clean-360|25.19|CharlieBlakemore
1337|M|train-clean-360|25.02|StevenRushing
1341|M|train-other-500|28.77|Coastalbloke
1342|F|train-other-500|30.20|SueAnnDozier
1343|F|train-clean-360|25.13|LauraKoskinen
1347|M|train-other-500|21.35|TedNugent
1348|F|train-clean-360|22.68|JanetFriday
1349|M|train-clean-360|25.14|JohnPruden
1353|M|train-other-500|30.04|ClarkeBell
1355|M|train-clean-100|22.31|ChrisGladis
1363|F|train-clean-100|21.87|TammySanders
1365|M|train-clean-360|25.19|JoelPoortenga
1367|M|train-other-500|30.12|JoeBrenneman
1370|F|train-other-500|19.78|LeeElliott
1373|F|train-other-500|26.93|KiraBelkin
1374|M|train-other-500|17.76|GrahamThomsen
1379|M|train-clean-360|25.09|KenCrooker
1382|F|train-clean-360|21.44|HeatherLawrence
1383|M|train-clean-360|23.92|DavidBest
1384|M|train-other-500|24.51|StephenLamb
1387|M|train-clean-360|25.05|ScottMather
1390|F|train-clean-360|16.65|C.L.Coney
1392|M|train-clean-360|25.22|ChrisMasterson
1401|F|train-clean-360|25.19|SibellaDenton
1403|M|train-other-500|17.40|tipaew
1413|M|train-clean-360|25.08|ryanaw
1414|F|train-other-500|7.83|guava
1417|F|train-clean-360|25.19|PsukeBariah
1421|F|train-other-500|28.68|MadameTusk
1422|F|train-clean-360|25.19|Yazpistachio
1425|F|train-clean-360|25.26|JeanetteFerguson
1430|M|train-other-500|23.75|AlokKarulkar
1444|M|train-other-500|11.74|RyanMease
1445|M|train-clean-360|25.15|MichaelYard
1446|M|train-clean-360|25.01|MichaelLoftus
1447|F|train-clean-100|25.18|Luigina
1448|F|train-clean-360|25.07|marevalo
1455|M|train-clean-100|25.13|webslog
1456|M|train-clean-360|25.12|JasonIsbell
1460|F|train-clean-360|25.01|E.Plein
1462|F|dev-clean|8.04|E.Tavano
1463|F|train-clean-360|25.23|VivianBush
1469|M|train-other-500|16.96|Fr.RichardZeileofDetroit
1472|F|train-clean-360|25.15|SarahJennings
1473|M|train-clean-360|25.10|DanPolanco
1474|F|train-other-500|30.03|JcGuan
1482|M|train-clean-360|25.00|JoshuaB.Christensen
1485|M|train-other-500|24.24|RobertFlach
1487|M|train-clean-360|23.93|radioreader
1492|M|train-other-500|30.14|mb
1494|M|train-other-500|6.27|GeorgeDeprez,PhD
1495|M|train-other-500|24.44|GlendowerJones
1498|F|train-clean-360|18.38|LoriHebel
1502|F|train-clean-100|25.05|AnnBoyer
1505|M|train-other-500|25.98|MarkNorman
1509|F|train-clean-360|25.04|MirandaStinson
1513|M|train-clean-360|25.11|Simon-PeterZak
1535|M|train-clean-360|22.74|RobertScott
1536|M|train-clean-360|25.23|Marco
1544|F|train-other-500|30.18|LilianaVale
1545|F|train-other-500|9.17|AmyAG
1547|F|train-clean-360|17.45|Riddleman
1552|M|train-clean-360|15.62|RogerTurnau
1553|F|train-clean-100|22.49|MimRitty
1556|M|train-clean-360|25.13|geofred
1559|M|train-other-500|18.95|LukeHarrison
1563|F|train-other-500|13.26|ChandraGioiello
1564|F|train-other-500|22.58|Hedvig
1566|F|train-other-500|27.46|AnnaChristensen
1569|F|train-other-500|25.00|KristineMackin
1571|M|train-clean-360|25.24|BobTassinari
1572|M|train-other-500|30.14|AlanClare
1578|F|train-clean-100|25.01|LorelleAnderson
1579|F|train-other-500|30.06|PhilippaWillitts
1580|F|test-clean|8.07|TinyPines
1585|F|dev-other|10.03|Nelly()
1593|F|train-other-500|28.90|KristineBekere
1594|M|train-clean-100|25.10|JonScottJones
1595|M|train-other-500|30.22|RiccardoFasol
1601|M|train-other-500|13.36|MichaelYourshaw
1603|M|train-clean-360|25.16|Arouet
1607|M|train-clean-360|24.74|ClaudeBanta
1614|M|train-other-500|30.11|FNH
1618|M|train-other-500|23.98|NicholasJamesBridgewater
1621|M|train-other-500|28.45|Caliban
1624|M|train-clean-100|22.03|DanielShorten
1629|F|train-clean-360|25.09|Gwyneth
1630|F|dev-other|10.06|spiritualbeing
1633|F|train-other-500|30.09|Beecher
1634|M|train-clean-360|17.65|daxm
1636|F|train-other-500|28.48|SandraZera
1638|M|train-clean-360|23.25|KyleM.
1639|M|train-clean-360|25.07|JoeKonno
1641|F|train-clean-360|16.60|Rohanna
1643|M|train-other-500|12.85|ChrisLeslie-Hynan
1645|M|train-clean-360|1.92|DavidShamp
1646|M|train-other-500|30.03|BenCobbett
1647|M|train-other-500|30.07|RichMeyers
1648|F|train-other-500|8.01|Accent
1649|F|train-clean-360|25.04|Kalynda
1650|M|dev-other|10.07|WangHaojie
1651|M|dev-other|4.53|BrendanHodge
1653|F|train-other-500|28.72|CarminaSansone
1664|F|train-other-500|27.98|ShaunaM
1665|F|train-other-500|30.11|JessicaACSnyder
1668|F|train-clean-360|22.96|stepheather
1673|F|dev-clean|8.07|Tonia
1674|F|train-other-500|30.15|Jo
1678|F|train-clean-360|25.08|leonardswench
1679|F|train-other-500|22.59|Polly
1680|F|train-other-500|18.27|intothelight
1681|F|train-other-500|28.90|islajane
1685|M|train-other-500|30.05|JonathanHorniblow
1686|F|dev-other|10.11|neelma
1688|M|test-other|9.83|winam
1690|F|train-other-500|23.47|Anne-Marie
1691|F|train-other-500|25.27|Classicsfan
1693|F|train-other-500|9.41|4Cullen
1695|F|train-other-500|23.70|Steph
1696|F|train-other-500|24.25|Darcywil
1699|M|train-other-500|29.66|GavinSmith
1701|M|dev-other|10.03|camelot2302
1704|F|train-other-500|19.92|JB
1705|F|train-clean-360|23.78|tittletattle
1708|M|train-other-500|15.80|Alaaious
1710|F|train-other-500|12.02|Gilly
1714|F|train-other-500|16.02|lauralee
1715|F|train-other-500|24.53|Marianna
1717|F|train-other-500|14.81|PJ
1721|F|train-other-500|19.66|Linnea
1723|M|train-clean-100|25.12|RobWhelan
1724|F|train-clean-360|25.05|AnnaSimon
1726|F|train-other-500|22.71|janeite
1731|F|train-clean-360|25.06|Dani
1733|F|train-other-500|22.94|MiraCheskis
1734|F|train-clean-360|15.86|LuvDemBrooders
1736|F|train-other-500|29.58|LC
1737|F|train-clean-100|25.04|ErinHastings
1740|F|train-clean-360|25.22|Shubda
